               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,              0.0571,            0.026737,           0.0024818,              0.8824,             0.78608,             0.82645,             0.43656,            0.058078,             0.02551,            0.010081,            0.005875,            0.005875,            0.005875
                 127,            0.054002,             0.02152,           0.0030879,             0.92623,             0.77798,             0.82222,             0.38941,            0.059133,            0.025421,            0.010745,            0.005842,            0.005842,            0.005842
                 128,            0.052351,            0.023578,           0.0025243,             0.88085,             0.77565,             0.82328,              0.3992,            0.059462,            0.025732,            0.011448,            0.005809,            0.005809,            0.005809
                 129,            0.053144,             0.02206,           0.0034923,             0.89392,             0.79169,             0.82828,             0.39021,            0.060273,            0.025663,            0.012502,            0.005776,            0.005776,            0.005776
                 130,            0.053756,            0.024076,           0.0029132,               0.879,             0.76227,             0.80043,             0.41775,            0.058258,            0.025803,            0.011992,            0.005743,            0.005743,            0.005743
                 131,            0.052135,            0.024819,           0.0016764,             0.91315,             0.79195,             0.82438,             0.36709,            0.060302,            0.025903,            0.011473,             0.00571,             0.00571,             0.00571
                 132,            0.055357,             0.02455,           0.0020157,             0.88629,             0.76473,             0.79691,             0.41052,            0.059827,            0.025949,            0.010628,            0.005677,            0.005677,            0.005677
                 133,            0.056252,            0.023126,           0.0021168,             0.88839,               0.766,             0.80835,             0.37447,              0.0605,            0.025804,            0.010792,            0.005644,            0.005644,            0.005644
                 134,            0.057487,            0.023851,            0.002375,             0.89547,             0.76459,             0.81347,             0.42934,            0.058508,            0.025743,            0.010965,            0.005611,            0.005611,            0.005611
                 135,            0.053119,            0.024689,            0.001907,             0.87788,              0.7895,             0.82487,             0.41767,            0.059336,            0.025514,            0.010955,            0.005578,            0.005578,            0.005578
                 136,            0.052796,            0.023024,           0.0020221,             0.88736,             0.76473,             0.79763,             0.38994,            0.060176,            0.025697,            0.011081,            0.005545,            0.005545,            0.005545
                 137,            0.053634,            0.023505,           0.0019342,             0.89731,             0.80648,             0.82493,             0.37457,            0.062867,            0.025563,            0.011088,            0.005512,            0.005512,            0.005512
                 138,            0.056471,            0.025126,           0.0024844,             0.92291,             0.74813,             0.79871,             0.42124,            0.059027,            0.025516,            0.011219,            0.005479,            0.005479,            0.005479
                 139,            0.053281,            0.025201,           0.0022643,             0.88279,             0.75213,              0.8173,             0.38322,            0.059679,            0.025414,            0.011333,            0.005446,            0.005446,            0.005446
                 140,            0.052914,            0.024671,           0.0020732,             0.91101,              0.7486,             0.80795,             0.40535,             0.05886,            0.025636,            0.011208,            0.005413,            0.005413,            0.005413
                 141,            0.052233,            0.023529,           0.0020816,              0.8573,             0.80144,             0.82596,             0.40473,            0.058472,            0.025208,            0.011276,             0.00538,             0.00538,             0.00538
                 142,            0.049922,            0.024048,           0.0016823,             0.88029,             0.77296,             0.81438,             0.42566,            0.058356,            0.025434,             0.01095,            0.005347,            0.005347,            0.005347
                 143,            0.051798,            0.024028,           0.0024175,             0.87786,             0.79415,              0.8222,             0.40052,             0.05922,            0.026028,            0.011617,            0.005314,            0.005314,            0.005314
                 144,            0.051723,            0.023984,           0.0020099,             0.91062,             0.77087,             0.81892,             0.41656,             0.05847,             0.02536,            0.011042,            0.005281,            0.005281,            0.005281
                 145,            0.052128,             0.02388,           0.0016005,             0.92133,             0.81613,             0.83222,             0.42451,             0.05878,            0.025273,            0.010934,            0.005248,            0.005248,            0.005248
                 146,             0.05035,            0.021689,           0.0022101,             0.89496,             0.77268,             0.80687,             0.42517,            0.059618,            0.025577,            0.011625,            0.005215,            0.005215,            0.005215
                 147,            0.053719,            0.022277,           0.0016204,              0.8872,             0.77264,             0.81811,             0.41794,            0.059963,             0.02526,            0.011681,            0.005182,            0.005182,            0.005182
                 148,            0.054443,            0.024465,           0.0021758,             0.87158,             0.76473,             0.80473,             0.40514,            0.059583,            0.025652,            0.011672,            0.005149,            0.005149,            0.005149
                 149,            0.051753,            0.023597,           0.0015674,             0.90164,             0.76118,             0.80603,             0.42101,            0.059078,            0.025752,             0.01195,            0.005116,            0.005116,            0.005116
                 150,            0.052712,            0.022629,           0.0019321,             0.88779,             0.77276,             0.80259,             0.37583,            0.059898,            0.026295,            0.012139,            0.005083,            0.005083,            0.005083
                 151,            0.052514,            0.020669,           0.0015444,             0.89821,             0.75666,             0.77705,             0.39806,            0.059716,            0.026589,            0.012159,             0.00505,             0.00505,             0.00505
                 152,            0.056497,            0.026942,           0.0019357,             0.89933,             0.77147,             0.79456,              0.3755,            0.058984,            0.026464,            0.011909,            0.005017,            0.005017,            0.005017
                 153,            0.053107,            0.025338,           0.0016851,             0.86863,              0.7486,             0.77807,             0.40782,            0.058368,            0.027112,            0.012269,            0.004984,            0.004984,            0.004984
                 154,            0.052297,            0.022133,           0.0019372,             0.88254,             0.77931,             0.80314,             0.38762,            0.058637,            0.026892,            0.012262,            0.004951,            0.004951,            0.004951
                 155,             0.05143,            0.024296,           0.0018165,             0.88074,             0.73483,             0.78047,             0.42434,            0.058209,            0.027081,            0.012151,            0.004918,            0.004918,            0.004918
                 156,            0.050511,            0.020267,           0.0018108,             0.88242,             0.76713,             0.81922,             0.42088,            0.058119,            0.026836,            0.012199,            0.004885,            0.004885,            0.004885
                 157,            0.050166,            0.024415,            0.001892,             0.94966,              0.6993,             0.79597,             0.45285,             0.05725,            0.026786,            0.011983,            0.004852,            0.004852,            0.004852
                 158,             0.05051,            0.022888,           0.0014778,             0.89954,             0.72421,             0.80726,             0.39519,            0.058427,            0.026799,            0.012551,            0.004819,            0.004819,            0.004819
                 159,            0.053038,            0.023381,           0.0013777,             0.87651,             0.69086,             0.77157,             0.41191,            0.060337,            0.027742,             0.01271,            0.004786,            0.004786,            0.004786
                 160,            0.050915,             0.02042,           0.0015549,             0.84357,             0.72295,             0.77837,             0.43009,            0.057664,            0.027056,            0.012542,            0.004753,            0.004753,            0.004753
                 161,             0.05037,            0.023085,           0.0016447,             0.84958,             0.72078,             0.77906,             0.42803,            0.058235,            0.027273,            0.012546,             0.00472,             0.00472,             0.00472
